,ResponseId,LocationLatitude,LocationLongitude,Sex,Age,EDuc,Etnia,Q69,Q70,Identity Fusion_1,Identity Fusion_2,Identity Fusion_3,Identity Fusion_4,Identity Fusion_5,Identity Fusion_6,Identity Fusion_7,Region,IdPol,IdF_1,IdF_2,IdF_3,IdF_4,IdF_5,IdF_6,IdF_7,OriPol_1,IdPolUribe_1,IdPolUribe_2,IdPolUribe_3,IdPolUribe_4,IdPolUribe_5,IdPolUribe_6,IdPolUribe_7,IdPolUribe_8,CollUnc_1,CollUnc_2,CollUnc_3,CollUnc_4,SRW_1,SRW_2,SRW_3,Q74_1,Q74_2,Q74_3,Q71_1,Q71_2,Q71_3,Q75_1,Q75_2,Q75_3,Q73_1,Q73_2,InterGcontact_1,InterGcontact_2,InterGcontact_3,InterGcontact_4,InterGcontact_5,InterGcontact_6,InterGcontact_7,NormSoc_1,NormSoc_2,NormSoc_3,NormSoc_4,NormSoc_5,Salment_1,Salment_2,Salment_3,Salment_4,Salment_5,Salment_6,Salment_7,SatVida_1,SatVida_2,SatVida_3,SatVida_4,SatVida_5,O-C-Test_1,O-C-Test2_1,O-C-T3_1,O-C-T4_1,O-C-T5_1,Q52_1,Q53_1,Q54_1,Q55_1,Q56_1,ActRadic_1,ActRadic_2,ActRadic_3,Q76_1,Q76_2,Q76_3,Q72_1,Q72_2,Q72_3,Q72_4,Q78_1,Q78_2,Q78_3,Q78_4,Deshum_1,Deshum_2,Deshum_3,Q63,Q64,Duration in minutes,minutes_per_question
810,R_yIt1KKri8t181dD,3.4129,-76.5191,3,47,3,0,CALI,VALLE DEL CAUCA,1.0,5.0,1.0,1,1.0,1.0,1.0,Valluno,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,5.0,5.0,5.0,1.0,1.0,5.0,0,0.0,0.0,0,0.0,0,0,0.0,50.0,100.0,100.0,100.0,3,3.0,3,1.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0,7.0,0,0,0.0,2.0,1,0,0.0,0,1,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,46.0,4.0,100.0,3,3,55.35,0.352547770700637
905,R_3qsNwuVs5G6rDS8,3.4129,-76.5191,1,47,0,4,CALI,VALLE DEL CAUCA,3.0,5.0,4.0,5,1.0,1.0,1.0,Valluno,6,5.0,5.0,5.0,2.0,5.0,4.0,5.0,2,4.0,5.0,3.0,5.0,3.0,0.0,3.0,3.0,7.0,7.0,5.0,5.0,5.0,5.0,1.0,5.0,1.0,3.0,5.0,5.0,5.0,3.0,5.0,5.0,3.0,3.0,4,4.0,2.0,0,0.0,0,2,72.0,50.0,70.0,100.0,100.0,0,0.0,0,0.0,0.0,0.0,0.0,3.0,5.0,3.0,5.0,5.0,0,0,0.0,0.0,0,0,0.0,0,0,0,7.0,7.0,7.0,7.0,7.0,7.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,7.0,100.0,6.0,81.0,6,1,25.766666666666666,0.16411889596602972
912,R_bjEiMCSmEk0RH8d,3.4129,-76.5191,1,42,4,1,CALI,VALLE DEL CAUCA,6.0,6.0,6.0,2,3.0,3.0,5.0,Valluno,6,5.0,5.0,3.0,4.0,4.0,3.0,3.0,0,5.0,7.0,3.0,3.0,7.0,0.0,3.0,3.0,5.0,7.0,5.0,7.0,7.0,3.0,3.0,5.0,1.0,1.0,5.0,5.0,5.0,5.0,3.0,7.0,5.0,5.0,4,0.0,7.0,1,0.0,0,0,50.0,50.0,50.0,36.0,50.0,2,0.0,2,3.0,1.0,1.0,0.0,7.0,7.0,7.0,7.0,7.0,1,1,0.0,2.0,1,1,1.0,1,1,1,7.0,7.0,7.0,7.0,7.0,7.0,5.0,5.0,5.0,5.0,5.0,7.0,7.0,7.0,98.0,100.0,20.0,0,1,30.033333333333335,0.1912951167728238
919,R_3Gewuh2Lmvi6Qz7,3.4129,-76.5191,1,40,5,3,CALI,VALLE DEL CAUCA,4.0,5.0,5.0,3,0.0,3.0,2.0,Valluno,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,4.0,3.0,3.0,3.0,3.0,0.0,1.0,1.0,5.0,5.0,5.0,5.0,7.0,3.0,7.0,7.0,3.0,3.0,5.0,7.0,7.0,5.0,7.0,7.0,7.0,7.0,3,0.0,2.0,2,2.0,2,4,50.0,52.0,51.0,63.0,56.0,1,1.0,1,2.0,0.0,1.0,0.0,7.0,5.0,5.0,5.0,7.0,1,0,0.0,0.0,1,1,1.0,1,3,1,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,7.0,7.0,7.0,98.0,97.0,98.0,0,1,364.3666666666667,2.3208067940552017
942,R_1yQwHhUoLARkAJr,4.6115,-74.0833,1,51,3,3,CALI,VALLE DEL CAUCA,6.0,6.0,5.0,6,4.0,6.0,6.0,Valluno,0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,5.0,5.0,7.0,5.0,7.0,5.0,7.0,2,0.0,0.0,3,0.0,0,2,80.0,50.0,100.0,0.0,100.0,4,0.0,0,0.0,4.0,2.0,5.0,5.0,5.0,7.0,5.0,1.0,1,2,1.0,2.0,3,1,1.0,2,2,2,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,10.0,0.0,100.0,4,1,32.45,0.20668789808917198
952,R_1MSr3rvcRiKyAh4,3.4129,-76.5191,0,50,0,1,CALI,VALLE DEL CAUCA,0.0,6.0,5.0,6,5.0,5.0,5.0,Valluno,4,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,7.0,7.0,0.0,4.0,3.0,0.0,0.0,3.0,5.0,5.0,5.0,5.0,5.0,3.0,7.0,7.0,7.0,5.0,5.0,7.0,5.0,5.0,5.0,7.0,3.0,5.0,3,1.0,1.0,3,1.0,1,3,80.0,93.0,88.0,91.0,56.0,0,0.0,0,2.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,0,0,0.0,0.0,1,0,0.0,0,0,0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,71.0,87.0,0,1,16.033333333333335,0.10212314225053079
954,R_1f1Q0q08CrC91V4,3.4129,-76.5191,0,51,5,3,CALI,VALLE DEL CAUCA,5.0,5.0,4.0,4,3.0,4.0,4.0,Valluno,6,5.0,3.0,3.0,3.0,3.0,3.0,3.0,0,7.0,4.0,0.0,1.0,2.0,0.0,0.0,0.0,5.0,7.0,5.0,5.0,5.0,7.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,3.0,3.0,7.0,5.0,1,0.0,3.0,2,3.0,2,3,0.0,2.0,5.0,2.0,4.0,0,0.0,0,1.0,0.0,2.0,0.0,7.0,5.0,5.0,5.0,7.0,0,0,0.0,0.0,1,0,0.0,0,1,1,7.0,7.0,7.0,7.0,1.0,7.0,7.0,7.0,5.0,5.0,7.0,5.0,7.0,7.0,85.0,42.0,76.0,0,1,23.516666666666666,0.14978768577494692
956,R_2Xb98pQQSzfQpAD,3.4129,-76.5191,1,53,5,1,CALI,VALLE DEL CAUCA,5.0,5.0,5.0,5,4.0,1.0,1.0,Valluno,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,5.0,5.0,2,2.0,2.0,2,2.0,2,2,90.0,60.0,90.0,80.0,60.0,0,0.0,0,3.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,7.0,0,0,0.0,2.0,1,0,0.0,0,2,1,7.0,7.0,7.0,7.0,7.0,7.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,90.0,90.0,90.0,0,1,95.96666666666667,0.6112526539278131
970,R_6PUQyDtuBujb0Od,3.4129,-76.5191,0,59,4,4,CALI,VALLE DEL CAUCA,6.0,5.0,5.0,5,5.0,1.0,5.0,Valluno,0,1.0,7.0,4.0,5.0,3.0,3.0,5.0,1,1.0,7.0,7.0,4.0,3.0,1.0,1.0,1.0,7.0,7.0,7.0,7.0,7.0,1.0,7.0,7.0,1.0,1.0,7.0,7.0,1.0,1.0,7.0,1.0,7.0,7.0,6,6.0,6.0,6,6.0,6,2,32.0,100.0,41.0,94.0,35.0,0,0.0,3,6.0,2.0,3.0,0.0,7.0,7.0,7.0,7.0,7.0,0,2,0.0,0.0,0,0,0.0,0,2,0,7.0,7.0,7.0,7.0,3.0,7.0,5.0,1.0,5.0,7.0,7.0,7.0,7.0,7.0,90.0,27.0,83.0,0,1,33.81666666666667,0.2153927813163482
976,R_yQpKbhMECahUBGN,3.4129,-76.5191,0,57,0,1,CALI,VALLE DEL CAUCA,1.0,5.0,5.0,5,5.0,5.0,5.0,Valluno,4,1.0,1.0,1.0,4.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,5.0,5.0,3.0,3.0,7.0,7.0,3.0,5.0,3.0,3.0,5.0,3.0,5.0,5.0,3.0,3.0,3.0,5.0,5,5.0,5.0,5,3.0,3,0,20.0,73.0,55.0,16.0,73.0,1,1.0,1,1.0,4.0,1.0,1.0,7.0,5.0,7.0,5.0,7.0,0,0,0.0,0.0,1,0,0.0,0,0,1,7.0,7.0,7.0,7.0,7.0,7.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,7.0,49.0,49.0,96.0,6,5,26.866666666666667,0.1711252653927813
