,ResponseId,LocationLatitude,LocationLongitude,Sex,Age,EDuc,Etnia,Q69,Q70,Identity Fusion_1,Identity Fusion_2,Identity Fusion_3,Identity Fusion_4,Identity Fusion_5,Identity Fusion_6,Identity Fusion_7,Region,IdPol,IdPol_2_TEXT,IdF_1,IdF_2,IdF_3,IdF_4,IdF_5,IdF_6,IdF_7,OriPol_1,IdPolUribe_1,IdPolUribe_2,IdPolUribe_3,IdPolUribe_4,IdPolUribe_5,IdPolUribe_6,IdPolUribe_7,IdPolUribe_8,Control_1,Control_2,CollUnc_1,CollUnc_2,CollUnc_3,CollUnc_4,SRW_1,SRW_2,SRW_3,Q74_1,Q74_2,Q74_3,Q71_1,Q71_2,Q71_3,Q75_1,Q75_2,Q75_3,Q73_1,Q73_2,InterGroup_1,Q37_1,Intragroup_1,Q38_1,InterGcontact_1,InterGcontact_2,InterGcontact_3,InterGcontact_4,InterGcontact_5,InterGcontact_6,InterGcontact_7,InterGContacPetrist_1,InterGContacPetrist_2,InterGContacPetrist_3,InterGContacPetrist_4,InterGContacPetrist_5,InterGContacPetrist_6,InterGContacUribi_1,InterGContacUribi_2,InterGContacUribi_3,InterGContacUribi_4,InterGContacUribi_5,InterGContacUribi_6,OutGEmpUribis_1,OutGEmpUribis_2,OutGEmpUribis_3,EmpUribist_1,EmpUribist_2,EmpUribist_3,ConspiracyUribi_1,ConspiracyUribi_2,ConspiracyUribi_3,ConspiracyUribi_4,ConspiracyPetrist_1,ConspiracyPetrist_2,ConspiracyPetrist_3,ConspiracyPetrist_4,NormSoc_1,NormSoc_2,NormSoc_3,NormSoc_4,NormSoc_5,Salment_1,Salment_2,Salment_3,Salment_4,Salment_5,Salment_6,Salment_7,SatVida_1,SatVida_2,SatVida_3,SatVida_4,SatVida_5,O-C-Test_1,O-C-Test2_1,O-C-T3_1,O-C-T4_1,O-C-T5_1,Q52_1,Q53_1,Q54_1,Q55_1,Q56_1,ActRadic_1,ActRadic_2,ActRadic_3,Q76_1,Q76_2,Q76_3,Q72_1,Q72_2,Q72_3,Q72_4,Q78_1,Q78_2,Q78_3,Q78_4,Deshum_1,Deshum_2,Deshum_3,Q63,Q64,Q64_5_TEXT,Q78
776,R_3MiecXjf1ozfzr8,3.4129,-76.5191,Una mujer,54.0,Técnico o Tecnológico,Ninguna,CALI,VALLE DEL CAUCA,Fuertemente de acuerdo,Fuertemente de acuerdo,Fuertemente de acuerdo,Fuertemente de acuerdo,De acuerdo,De acuerdo,Fuertemente de acuerdo,Valluno,Uribista y/o de derecha,,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,.,De acuerdo,Algo de acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,En desacuerdo,.,.,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Completamente de acuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,Un poco en desacuerdo,De acuerdo,Un poco en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Un poco en desacuerdo,Un poco en desacuerdo,Un poco en desacuerdo,Un poco de acuerdo,Con muchas,,Con muchas,,Nunca,Algunas veces,Algunas veces,Frecuentemente,Casi nunca,Casi nunca,Rara vez,,,,,,,Casi nunca,Casi nunca,Algunas veces,Rara vez,Algunas veces,Algunas veces,En desacuerdo,En desacuerdo,En desacuerdo,,,,Un poco de acuerdo,De acuerdo,De acuerdo,De acuerdo,,,,,97,88,55,49,50,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,De acuerdo,De acuerdo,De acuerdo,Completamente de acuerdo,Completamente de acuerdo,Nada,Nada,Nada,Siempre,Mucho control,Nada,Nada,Nada,Siempre,Mucho control,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Moderadamente de acuerdo,En desacuerdo,Moderadamente de acuerdo,Moderadamente de acuerdo,Moderadamente de acuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,Para nada de acuerdo,50,43,68,Rodolfo Hernández,Rodolfo Hernández,,3000000121840
787,R_3e99WJuf6zVLxL9,41.5782,-73.415,Una mujer,42.0,Técnico o Tecnológico,Mestizo,CALI,VALLE DEL CAUCA,En desacuerdo,Algo en desacuerdo,Algo de acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Fuertemente de acuerdo,Valluno,Uribista y/o de derecha,,Algo de acuerdo,Algo en desacuerdo,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,Algo de acuerdo,.,Completamente de acuerdo,Completamente de acuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,Algo en desacuerdo,Fuertemente en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Sí,Sí,Completamente de acuerdo,Completamente de acuerdo,Completamente de acuerdo,Completamente de acuerdo,Completamente de acuerdo,Un poco en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Un poco en desacuerdo,Completamente en desacuerdo,Completamente de acuerdo,En desacuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Un poco de acuerdo,Con muy pocas,,Con varias,,Algunas veces,Algunas veces,Frecuentemente,Rara vez,Frecuentemente,Rara vez,Casi siempre,,,,,,,Nunca,Nunca,Nunca,Siempre,Siempre,Siempre,Completamente en desacuerdo,Completamente en desacuerdo,Completamente en desacuerdo,,,,Completamente de acuerdo,Completamente de acuerdo,Un poco de acuerdo,Completamente de acuerdo,,,,,100,50,12,100,40,No corresponden para nada con mis sentimientos,Corresponde algo con mis sentimientos,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,Corresponde moderadamente con mis sentimientos,No corresponden para nada con mis sentimientos,De acuerdo,De acuerdo,De acuerdo,Completamente de acuerdo,Completamente de acuerdo,Nada,Nada,Nada,Siempre,Completo control,Nada,Nada,Nada,Siempre,Completo control,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Completamente de acuerdo,Completamente de acuerdo,Completamente de acuerdo,Completamente de acuerdo,Completamente de acuerdo,Completamente de acuerdo,Completamente de acuerdo,Moderadamente de acuerdo,100,15,50,Federico (Fico) Gutierrez,Federico (Fico) Gutierrez,,30000121417usbcali
788,R_3MFHZxjhuw2fvZE,3.4129,-76.5191,Una mujer,53.0,Técnico o Tecnológico,Blanco,CALI,VALLE DEL CAUCA,Algo en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,Algo de acuerdo,Valluno,Petrista y/o de izquierda,,De acuerdo,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,De acuerdo,Algo de acuerdo,De acuerdo,Algo en desacuerdo,.Centro,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Sí,Sí,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Un poco en desacuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Un poco de acuerdo,De acuerdo,,Con varias,,Con varias,Frecuentemente,Casi nunca,Casi nunca,Frecuentemente,Casi nunca,Casi nunca,Casi nunca,Frecuentemente,Frecuentemente,Frecuentemente,Rara vez,Rara vez,Rara vez,,,,,,,,,,Un poco de acuerdo,Un poco de acuerdo,Un poco en desacuerdo,,,,,En desacuerdo,Un poco de acuerdo,Un poco de acuerdo,Un poco de acuerdo,46,67,71,65,50,Corresponde moderadamente con mis sentimientos,Corresponde moderadamente con mis sentimientos,Corresponde muy poco con mis sentimientos,Corresponden completamente con mis sentimientos,Corresponde con mis sentimientos,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,En desacuerdo,En desacuerdo,Un poco en desacuerdo,En desacuerdo,En desacuerdo,Cerca de 1 hora al día,Un poco,Nada,Siempre,Algo de control,Cerca de 1 hora al día,Un poco,Un poco,La mayor parte del tiempo,Algo de control,De acuerdo,Un poco en desacuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,42,59,49,No voté,No votaría,,USB30000124779
803,R_3j0y4vlfm6DPyPV,3.8794,-77.0586,Un hombre,50.0,Posgrado,Ninguna,CALI,VALLE DEL CAUCA,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De otra región. Cuàl?,"Otro, ¿Cuál?",Centro Derecha,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,.,De acuerdo,Ni de acuerdo ni en desacuerdo,Fuertemente en desacuerdo,Algo en desacuerdo,De acuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,.,.,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,,,,,Casi siempre,Rara vez,Frecuentemente,Frecuentemente,Rara vez,Frecuentemente,Rara vez,,,,,,,,,,,,,,,,,,,,,,,,,,,50,94,100,80,100,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,Un poco de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Nada,Nada,Nada,Siempre,Completo control,Nada,Nada,Nada,Siempre,Completo control,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,100,40,76,Sergio Fajardo,Sergio Fajardo,,30000124761usbcali
808,R_1jCmyLXbCtC5pKQ,3.4129,-76.5191,Un hombre,62.0,Primaria,Afrodescendiente,CALI,VALLE DEL CAUCA,De acuerdo,,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De otra región. Cuàl?,Sólo de derecha,,De acuerdo,De acuerdo,De acuerdo,,De acuerdo,De acuerdo,De acuerdo,Extrema derecha,De acuerdo,De acuerdo,Fuertemente en desacuerdo,En desacuerdo,En desacuerdo,Fuertemente en desacuerdo,En desacuerdo,En desacuerdo,Sí,Sí,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Completamente de acuerdo,Completamente de acuerdo,De acuerdo,Completamente de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Con bastantes,,Con varias,,Rara vez,Rara vez,Frecuentemente,Algunas veces,Algunas veces,Rara vez,Casi nunca,,,,,,,Nunca,Nunca,Algunas veces,Casi siempre,Frecuentemente,Frecuentemente,En desacuerdo,En desacuerdo,De acuerdo,,,,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,,,,,0,10,15,,,Corresponde con mis sentimientos,Corresponde con mis sentimientos,Corresponde muy poco con mis sentimientos,Corresponde muy poco con mis sentimientos,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,Nada,Nada,,Algunas veces,Mucho control,Nada,Nada,Nada,Rara vez. Algunas veces me ganan.,Completo control,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,100,1,33,No voté,Sergio Fajardo,,30000116835
810,R_yIt1KKri8t181dD,3.4129,-76.5191,,47.0,Secundaria,Afrodescendiente,CALI,VALLE DEL CAUCA,En desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,Valluno,"Otro, ¿Cuál?",Ninguna,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,.Centro,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,Sí,Sí,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,,,,,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Corresponde con mis sentimientos,Corresponde con mis sentimientos,Corresponde con mis sentimientos,Corresponde muy poco con mis sentimientos,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,Corresponde con mis sentimientos,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,Completamente de acuerdo,Nada,Nada,Nada,Algunas veces,Mucho control,Nada,Nada,Nada,La mayor parte del tiempo,Completo control,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,46,4,,No voté,No votaría,,30000116835 usb cali 
850,R_6m38Mx1ve0ynStX,,,Un hombre,42.0,Técnico o Tecnológico,,CALI,ANTIOQUIA,,De acuerdo,De acuerdo,Fuertemente de acuerdo,De acuerdo,Algo de acuerdo,De acuerdo,Antioqueño,Sólo de derecha,,Algo de acuerdo,Algo de acuerdo,De acuerdo,De acuerdo,Algo de acuerdo,,Algo de acuerdo,.Centro,De acuerdo,Algo en desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,,Fuertemente en desacuerdo,,Fuertemente en desacuerdo,Sí,Sí,Completamente de acuerdo,Completamente de acuerdo,De acuerdo,De acuerdo,Un poco de acuerdo,Ni de acuerdo ni en desacuerdo,Un poco de acuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,Un poco en desacuerdo,Un poco de acuerdo,Con varias,,Con muchas,,Frecuentemente,Casi siempre,Frecuentemente,Frecuentemente,Algunas veces,Algunas veces,Algunas veces,,,,,,,Algunas veces,Algunas veces,Algunas veces,Algunas veces,Algunas veces,Algunas veces,De acuerdo,En desacuerdo,Un poco en desacuerdo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
905,R_3qsNwuVs5G6rDS8,3.4129,-76.5191,Una mujer,47.0,Posgrado,Ninguna,CALI,VALLE DEL CAUCA,Ni de acuerdo ni en desacuerdo,De acuerdo,Algo de acuerdo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,Valluno,Uribista y/o de derecha,,De acuerdo,De acuerdo,De acuerdo,Algo en desacuerdo,De acuerdo,Algo de acuerdo,De acuerdo,Extrema Izquierda,Algo de acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Fuertemente en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Sí,Sí,Completamente de acuerdo,Completamente de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Con varias,,Con varias,,Frecuentemente,Frecuentemente,Algunas veces,Nunca,Nunca,Nunca,Algunas veces,,,,,,,Nunca,Nunca,Rara vez,Frecuentemente,Casi siempre,Nunca,Un poco de acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,,,,De acuerdo,De acuerdo,De acuerdo,De acuerdo,,,,,72,50,70,,,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,Nada,Nada,Nada,Siempre,Completo control,Nada,Nada,Nada,Siempre,Completo control,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Para nada de acuerdo,100,6,81,Sergio Fajardo,Federico (Fico) Gutierrez,,8958113
908,R_22rccD7aJgTRap2,3.4129,-76.5191,Un hombre,32.0,Posgrado,Blanco,CALI,VALLE DEL CAUCA,Fuertemente de acuerdo,Fuertemente de acuerdo,Algo en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Valluno,Sólo de derecha,,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,.,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Sí,Sí,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Con muchísimas,,Con muchísimas,,Frecuentemente,Nunca,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,,,,,,,Casi siempre,Casi siempre,Casi siempre,Casi siempre,Casi siempre,Casi siempre,De acuerdo,De acuerdo,De acuerdo,,,,Completamente en desacuerdo,Completamente en desacuerdo,Completamente en desacuerdo,Completamente en desacuerdo,,,,,,,,,,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Cerca de 1 hora al día,Un poco,Un poco,La mayor parte del tiempo,Mucho control,Entre 1 y 3 horas al día,"Un poco, pero es manejable","Moderadamente, pero es manejable",Algunas veces,Algo de control,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,100,,74,No quiero responder,No votaría,,JavCali- (8959446)
912,R_bjEiMCSmEk0RH8d,3.4129,-76.5191,Una mujer,42.0,Técnico o Tecnológico,Blanco,CALI,VALLE DEL CAUCA,Fuertemente de acuerdo,Fuertemente de acuerdo,Fuertemente de acuerdo,Algo en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Valluno,Uribista y/o de derecha,,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,.,De acuerdo,,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,,Fuertemente en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Sí,Sí,De acuerdo,Completamente de acuerdo,De acuerdo,Completamente de acuerdo,Un poco de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Un poco de acuerdo,De acuerdo,De acuerdo,Con varias,,Con varias,,Frecuentemente,Nunca,,Casi nunca,Nunca,Nunca,Nunca,,,,,,,Casi nunca,Casi nunca,Rara vez,Nunca,Nunca,Nunca,Completamente en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,,,,Completamente de acuerdo,De acuerdo,De acuerdo,De acuerdo,,,,,50,50,50,36,50,Corresponde algo con mis sentimientos,No corresponden para nada con mis sentimientos,Corresponde algo con mis sentimientos,Corresponde con mis sentimientos,Corresponde muy poco con mis sentimientos,Corresponde muy poco con mis sentimientos,No corresponden para nada con mis sentimientos,Completamente en desacuerdo,Un poco en desacuerdo,Un poco en desacuerdo,Completamente en desacuerdo,Completamente en desacuerdo,Cerca de 1 hora al día,Un poco,Nada,Algunas veces,Mucho control,Cerca de 1 hora al día,Un poco,Un poco,La mayor parte del tiempo,Mucho control,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Moderadamente de acuerdo,Moderadamente de acuerdo,Para nada de acuerdo,98,,20,Federico (Fico) Gutierrez,Federico (Fico) Gutierrez,,JavCali- (8959446)
919,R_3Gewuh2Lmvi6Qz7,3.4129,-76.5191,Una mujer,40.0,Universitario,Mestizo,CALI,VALLE DEL CAUCA,Algo de acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Fuertemente en desacuerdo,Ni de acuerdo ni en desacuerdo,Algo en desacuerdo,Valluno,Sólo de derecha,,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,.,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Fuertemente en desacuerdo,En desacuerdo,En desacuerdo,.,.,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Un poco de acuerdo,Ni de acuerdo ni en desacuerdo,Un poco de acuerdo,Un poco de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Un poco de acuerdo,Un poco de acuerdo,De acuerdo,Un poco de acuerdo,Un poco de acuerdo,Un poco de acuerdo,Un poco de acuerdo,Con muy pocas,,Con muchas,,Rara vez,Nunca,Algunas veces,Algunas veces,Algunas veces,Algunas veces,Frecuentemente,,,,,,,Rara vez,Rara vez,Algunas veces,Frecuentemente,Frecuentemente,Algunas veces,En desacuerdo,En desacuerdo,En desacuerdo,,,,Un poco de acuerdo,De acuerdo,De acuerdo,Completamente de acuerdo,,,,,50,52,51,63,56,Corresponde muy poco con mis sentimientos,Corresponde muy poco con mis sentimientos,Corresponde muy poco con mis sentimientos,Corresponde algo con mis sentimientos,No corresponden para nada con mis sentimientos,Corresponde muy poco con mis sentimientos,No corresponden para nada con mis sentimientos,Un poco de acuerdo,De acuerdo,De acuerdo,De acuerdo,Un poco de acuerdo,Cerca de 1 hora al día,Nada,Nada,Siempre,Mucho control,Cerca de 1 hora al día,Un poco,Un poco,Rara vez. Algunas veces me ganan.,Mucho control,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Un poco en desacuerdo,Para nada de acuerdo,Completamente de acuerdo,Para nada de acuerdo,Moderadamente de acuerdo,Moderadamente de acuerdo,En desacuerdo,Para nada de acuerdo,Para nada de acuerdo,Moderadamente de acuerdo,98,97,98,Federico (Fico) Gutierrez,Federico (Fico) Gutierrez,,JavCali8958506
942,R_1yQwHhUoLARkAJr,4.6115,-74.0833,Una mujer,51.0,Secundaria,Mestizo,CALI,VALLE DEL CAUCA,Fuertemente de acuerdo,Fuertemente de acuerdo,De acuerdo,Fuertemente de acuerdo,Algo de acuerdo,Fuertemente de acuerdo,Fuertemente de acuerdo,Valluno,"Otro, ¿Cuál?",NINGUNO,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,.Centro,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Sí,Sí,Completamente de acuerdo,Completamente de acuerdo,Completamente de acuerdo,Completamente de acuerdo,Completamente de acuerdo,Completamente de acuerdo,Completamente de acuerdo,Completamente de acuerdo,Completamente de acuerdo,Completamente de acuerdo,De acuerdo,De acuerdo,De acuerdo,Completamente de acuerdo,De acuerdo,Un poco en desacuerdo,De acuerdo,Completamente de acuerdo,,,,,Algunas veces,Nunca,Nunca,Rara vez,Nunca,Nunca,Algunas veces,,,,,,,,,,,,,,,,,,,,,,,,,,,80,50,,0,100,Corresponde moderadamente con mis sentimientos,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,Corresponde moderadamente con mis sentimientos,Corresponde algo con mis sentimientos,Corresponde bastante con mis sentimientos,De acuerdo,De acuerdo,Un poco en desacuerdo,De acuerdo,En desacuerdo,Cerca de 1 hora al día,"Un poco, pero es manejable",Un poco,Algunas veces,Poco control,Cerca de 1 hora al día,Un poco,"Moderadamente, pero es manejable",Algunas veces,Algo de control,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,,Para nada de acuerdo,10,0,,Otro,Federico (Fico) Gutierrez,,JavCali(8960388)
